unit_id,policy_domain,decision_orientation,document_trigger,actors,geography,risk_terms,fiscal_terms,institutional_terms,monetary_expressions,deontic_formulas,policy_domain_status,decision_orientation_status,document_trigger_status,actors_status,geography_status,risk_terms_status,fiscal_terms_status,institutional_terms_status,monetary_expressions_status,deontic_formulas_status,policy_domain_review_status,decision_orientation_review_status,document_trigger_review_status,actors_review_status,geography_review_status,risk_terms_review_status,fiscal_terms_review_status,institutional_terms_review_status,monetary_expressions_review_status,deontic_formulas_review_status
R142_0001,institutional_procedure,prohibit,supplica,,,,,,,non possino,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation
R142_0002,,,,,,,,,,,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0003,shipping_navigation,confirm,commission,,Venezia|Lisbona,,datij|datio|ducati,senato|proveditori|rason vecchie,ducati dieci|un ottavo per cento,debba|non possa|sotto pena|stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0004,,,,,,,,,,,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0005,shipping_navigation,recommend,,,Candia,,,,,stimiamo,uncertain,uncertain,not_checked,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation
R142_0006,citizenship_privilege,grant,supplica,,Bergamo,,gravezze|tansa|ducati,senato,"ducati quattro,",debba,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0007,minorities_governance,inform,supplica,,,,datij|tansa|tanse,senato,,debba,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0008,taxation_customs,recommend,supplica,,Bergamo|Verona|Padoa,,datij|datio,senato,,stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0009,,,,,Alessandria,,,,,,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0010,,,,,,,,,,,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0011,shipping_navigation,inform,supplica,,Spalato|Narenta|Ragusi,,,,,,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0012,taxation_customs,recommend,commission,,,,datio,,,stimiamo,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation
R142_0013,minorities_governance,,supplica,,,,,cattaveri,,non possino,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0014,shipping_navigation,grant,supplica,,Alessandria|Costantinopoli|Cipro,,datij|datio|tansa|ducati|6 per c,zecca,"ducati 40,|20 per cento",stimiamo|non resti,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0015,taxation_customs,,report,,Ragusi,,datij|datio,senato,20 per cento,,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked
R142_0016,institutional_procedure,grant,letters,,Collogna,,,scansadori,,,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,not_checked
R142_0017,institutional_procedure,grant,letters,,Vdine,,,scansadori,l[ire] 116,non possa,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0018,currency_monetary,,commission,,,,,senato|proveditori|zecca,,stimiamo,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0019,currency_monetary,regulate,,,,,datij|ducati,senato|collegio|proveditori|zecca,ducati tresento.|lire 12|7 per cento,debba|debbano|non possino|stimiamo,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0020,institutional_procedure,grant,letters,,Padoa,,,senato,L[ire] 10,,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,uncertain,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,pending_expert_validation,not_checked
R142_0021,,,,,,,,,,,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0022,citizenship_privilege,,supplica,,Levante|Ponente,,datij|datio|gravezze|tansa|ducati|6 per c,senato,ducati dieci|6 per cento,,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked
