register_id,unit_id,folio_start,folio_end,date_original,date_iso,date_precision,marginal_note_raw,marginal_note_present,signatories_raw,signatories_norm,signatory_count,signatories_complete,text_diplomatic,transcription_status,relation_type,related_unit_id,date_check,regest_note,uncertain_readings
ASVe_CSM_R142,R142_0005,,,25 maggio 1607,1607-05-25,day,Z. Antonio Bozza civiltà,present,"seguono proposte – riviste in collegio e corrette – per rendere più sicura la navigazione, ripristinando un convoglio di navi armate",,2,recorded_unverified,"Habbiamo noi etc veduta la supplicatione de m. Z. Antonio Bozza da Bergamo per la quale ricerca dalla S.tà V. che si degni crear suo cittadino de extra per le cause, et come in essa, et dovendo noi riferir alla S.tà V.ra la nostra opinione, riverentemente li dicemo, come questo beneficio viene dalle leggi sue disposto che debba esser concesso a quelli, che habbino habitata questa citta per il spacio de anni vinticinque continui, et per il medesimo tempo pagate le gravezze della città; la dove havendo noi veduto per le dispositioni tolte all’officio di ss.ri Prov.ri di Commun detto supplicante haver habitato questa città intorno anni trenta continui, et che tuttavia continua ad habitare tenendo bottega in marzaria all’insegna della pigna, et che il suo nome fu tansato ducati quattro, et altri ducati quattro di aggionto, et havendo quelli di tempo in tempo pagati, principiando dall’anno 1581 in poi, si come si vede per fede delli signori Gov.ri delle Intrade, et essendo lui di nation bergamasco maritato con figliuoli nati in questa Città, et privilegiato dalla S.ta V. con l’Ecc.mo Senato a 20 Xmbre 1584 della cittadinanza de intus, et persona anco di buon nome, lo riputamo pero, haveno tutti li requisiti disposti dalle leggi capace, et degno, di quantoha humilmente supplicato, et cio li dicemo, con nostro giuramento… Anzolo Basadonna, Fantin Diedo, Toma Mocenigo. [seguono proposte – riviste in collegio e corrette – per rendere più sicura la navigazione, ripristinando un convoglio di navi armate]",manual_full,,,,,0
ASVe_CSM_R142,R142_0024,,,29 marzo 1608,1608-03-29,day,Lucillo Fossato Costantinopoli per un groppo de cechini,present,,,,not_checked,"La supp.ne de Lucillo Fossato, per la quale ricerca, che la S.V. si degni di commetter all’Ill.mo s.r Bailo, che debba consegnar alli suoi agenti il groppo de Cechini al n° de 500 elevatoli dalla nave Martinella, dove erano caricati per consegnar a lui qua a Venetia, et ciò senza spesa alcuna, et che parimente lasci passar le sue lettere per le cause, et come in essa supp.ne è stata da noi sopra la m.tia veduta, et considerata, sopra la quale, dovendole noi referire la nostra opinione per essecution dell’ordine suo datoci a 6 istante, riverentemente le dicemo, come per la legge dell’Ecc.mo Senato de 19 April 1524 che sarà qui occlusa fu statuito, che nostri m.ti non potessero haver compagnia, over intelligenza in mercantie con forestieri, ne quelle mandar alli viaggi di Levante sotto gravissime pene, et come in quella, per essecution della qual par, che esso Ill.mo s.r Bailo habbia formato processo contra esso Fossato, et con l’occ.ne di quello fatto anco levar esso groppo, et le lettere insieme intercette: di che havendone dato aviso alla S.tà V. ha anco esposto i maleficij importanti, che ricceve la nostra nattione a quella scala per causa delle mercantie che da nostri vengono inviate nelle mano di hebrei, sopra del qual negotio alla auttorità sua; stimiamo però, che sia bene per nostra opinione, che ella debba scriver, et commetter al detto Ill.mo s.r Bailo, che debba inviar di qua esso groppo de cechini con il processo formato: perche si possa deliberare qul, che sarà stimato giusto, et ragionevole, et che parimente le sue lettere non li siano intercette, et ciò le dicemo con nostro giuramento rimettendosi [mancano i nomi]",manual_full,,,,,0
ASVe_CSM_R142,R142_0026,,,(senza data),,undated,uno dei savi non è d’accordo su un punto con gli altri colleghi.,present,,,,not_checked,,regest,,,undated,*(testo non presente / da trascrivere)*,
ASVe_CSM_R142,R142_0027,,,10 luglio 1608,1608-07-10,day,Mercanti Alemani per il giuramento X officij,present,"Marco da Riva, Ruzier ruzini, Lorenzo Barbarigo, Maffio Michiel",,4,recorded_unverified,"Rispondendo noi etc alla supp.ne delli ss.ri mercanti Alemani, nella quale narrando la molestia che ricceveno dalli ministri delli X officij per occasion del giuramento ricercano di esser da quella liberati con la offerta di giurar, et come in quella, reverentemente dicemo alla S.ta V. ben considerato da noi quanto si deve esser nostra opinione, che loro mercanti siano degni della gratia che dimandano con dechiaratione pero che quelli che passato esso termine non giurasseno debbano esser astretti alli pagamenti con la pena iuxta le leggi, et cio le dicemo con nostro giuramento rimettendosi etc [Marco da Riva, Ruzier ruzini, Lorenzo Barbarigo, Maffio Michiel]",manual_full,,,,,0
ASVe_CSM_R142,R142_0028,,,10 luglio 1608,1608-07-10,day,Battista Nanti q,present,,,,not_checked,,regest,,,,Bernardo chiede la cittadinanza de intus. È vicentino e ha sposato una veneziana; non ha mostrato pagamenti di decime tuttavia ha pagato tutto “come forestier [e] ha dato beneficio di non poca importanza alli datij dell’intrada et uscida”.,
ASVe_CSM_R142,R142_0030,,,12 settembre 1608,1608-09-12,day,i savi a proposito del conto dei cambi,present,"Marco da Riva, Ruzin Ruzini, Lorenzo Barbarigo, Maffio Michiel, Francesco Erizzo",,5,recorded_unverified,"Si fa riferimento al capitolare 5 c. 149t°. Con somma prudenza fu ordinato dalle ss.rie Vostre Ecc.me sotto l’ultimo agosto passato, che noi Cinque Savij sopra la mercantia facessimo intender a capi delle nationi interessate ne’ cambij, che il conto de cambio che si doveva fare a 2 di settembre presente fosse differito fin a tanto, che dall’ecc.mo senato restasse deciso, e terminato sopra la materia delle valute de or, et arzento quello, che è stato deliberato a 5 del presente, et questa dilatione fu interposta al conto affine che havendosi in consideratione la intention publica il conto dovesse confrontare, et assestarsi a detta parte, e per questa via anco fomentare la sua debita essecutione. In virtu di questp ordine fu dal nostro Magistrato intimato alli Consoli delle nationi Genovese, e Fiorentina, che differissero detto conto, dopo la regolation delli ori, che di breve si doveva uscire dall’Ecc.mo Senato, quali si offersero obedire, e ricceverono per loro giustificatione questa intimatione in scrittura, che le fu data, ricercandola per quanto asserivano per dimostrar di non esser in negligenza, et in colpa per non haver fatto i conti al debito tempo, e per schivar la pena di quattro mille ducati statuita loro quando differissero per loro negligenza. Il sabbato matina poi a 6 del presente comparsero detti consoli avanti di noi, a quali dicessimo che havevano inteso la intentione decisione, et regolatione degli ori del giorno precedente di venerdi et che potevano mo attender à suoi negotij e far i conti de cambij, havendo in consideratione la intention publica del senato, che detta regolatione dovessi haver effetto, partirono, e nella medesima hora, e quasi nel medesimo ponto a pena scese le scale publicorono il conto de cambij a d. 143 ¾ che è un dechiarire che la parte presa non sia per haver essecutione et un sostentare l’oro a prezzo eccessivo, et il cechino non a lire 10 come si è decretato ma al suo corso a lire 11 s. 12. Il conto di cambij non è altro che un agiustare il ducato venetiano con il scudo di marca, e come il scudo di marca è sempre il medesimo, cosi essendo variabile il ducato conforme alla qualità delle valute che correno per la città è necessario ogni fiera far il conto, et dechiarire quanti ducati entrano a far cento scudi in Bisenzone, e mentre correno buone valute, et il cechino si conta a lire diese il pari, o prezzo [86v scritto] delli cento scudi non è più di ducati 134 ¾ [/] chiara cosa è, che per questa via si sostenta l’oro a prezzo alto, si interrompe la parte, et intention publica, et si da grave interesse a quelli, che hanno dato danari a cambio, et per conseguenza grosso utile a quelli, che prendono a cambio. Per questi rispetti adunque li Ecc.mi ss.ri Savij domenica passata ci fecero chiamar a sue ss.rie Ecc.me et insieme discorso la indignita, che risultava al publico dalla rissolutione de fiorentini, et Genovesi, che con dispiacer, e danno di tutta la piaza erano venuti al predetto conto, di commun parere fu consigliato, e deliberato, che dal nostro magistrato il detto conto fosse per all’hora suspeso, che fossero essaminati sopra di esso i Consoli, che havevano preso licentia di farlo, et che fosse preso buona e distinta informatione sopra questo negotio e che si suspendesse, chei n banco non si scrivessero partite in libro de giro, le qual cose tutte da noi furono con somma diligenza esseguite. Et fatto venir a noi D. Ruberto Strozzi consolo della Nation fiorentina, et D. Z. Battista Ferrari consolo de Genovesi furono interrogati sopra diversi particolari. Ci hanno risposto, che il conto et cambij si era fatto conforme al stil ordinario che ridotti il consolo e conseglieri con altri dieci prese le debite informationi da sanseri da cambij conforme alle relationi di quelli, et al prezzo, che [87 scritto] faceva la piazza, che loro stabilivano il conto, che havevano relatione, che il giorno precedente, e la istessa mattina avanti il far del conto si havevano fatte molte partite a 144, il che è stato confirmato da medesimi sanseri, ma quello, che si ha d’avvertire è che li medesimi, che hanno fatto il conto alto per haver pretesto da far cio, sono stati quelli, che hanno dato, et riccevuto a cambio a precio cosi essorbitante [/] hanno alligato per loro iscusatione, che l’abbondantia del danaro, che hora si attrova nella piazza è caggione dell’altezza del cambio, che il loro conto non ha relatione solamente a negotij di Venetia, ma ad agiustare li loro conti di credito o debito nella piazza di Piasenza, e nella fiera di Bisenzone che ha relatione con tutte le piazze del mondo. Che la regolation delli ori esseguita giovera molto alli negotij di mercantia, ma non a cambij, che si pagano in banco in moneta d’argento, con altre ragioni fievoli, et di poco rilevo non essendo dubio che il cambio ha relatione alla mercantia et la regolation delle valute all’una, et l’altra di esse, et che Fiorentini particolarmente procurano di sostentar l’oro et argento a prezzi alti, e forse con intelligenza del loro principe per non lasciar capitar in questa città ne oro ne argento, e per transferir a Livorno la maggior parte del negotio à mercanti, che di qui si doverebbe fare, et da nostri, che a questo metteno ogni industria come hora hanno fatto [87v] co’l tenir questi conti tanto alti, a quali inconvenienti dovendo dir il rimedio, che per opinion nostra si doverebbe fare riverentemente dicemo che Che il conto fatto ultimamente per la fiera di Bisenzon sia tagliato, et annullato per quanto aspetta all’interesse de venetiani et sudditi suoi di quelli cambij pero, che non vanno estinti in fiera et a quelli sia prorogato il termine delli pagamenti per la fiera de ogni santi prossima ventura con utile di uno e un quarto per cento netti di provisione, con dichiaratione appresso, che non s’intendano compresi in cio quelli che avanti il p.to ultimo conto havessero fatti li cambij, et fermati a precij rotti, potendo pero li debitori a suo piacere estinguer li loro debiti della fiera passata, ma non gia possino esser astretti da loro creditori per detti cambij Che per l’avvenire nel far il conto delli cambij debbano intervenire di tutte le nationi, che hanno interesse, et che negotiano in materia de cambij cosi in credito, come in debito cioè Tre Venetiani / Doi Genovesi / Doi fiorentini / Un Luchese / un Milanese / Un Bergamasco / Un Todesco et / Un Fiamengor Da esser detti cadauno dalle loro nationi [88 scritto] et dati in nota al detto officio. Queste otto Nationi de mercanti sop.ti ridotti per li doi terzi al meno debbano redursi quattro volte all’anno iuxta l’ordinario insieme per far il conto et havute le debite informationi debbano per li doi terzi statuir, et limitar esso conto, et prima, che sia publicato debbano quello dar in nota a detto officio, accioche per ogni buon rispetto resti del tutto informato. Per questa via si persuademo, che il negotio di questa città sia per passar con maggior regola, et con servitio commodo, et satesfattione di tutta la piazza et che non sia per distrugger ma anzi per fomentare la buona essecutione della parte in materia delle valute cosi d’oro, come d’argento. Gratie [Marco da Riva, Ruzin Ruzini, Lorenzo Barbarigo, Maffio Michiel, Francesco Erizzo]",manual_full,,,order_anomaly_vs_previous,,0
ASVe_CSM_R142,R142_0031,,,26 settembre 1608,1608-09-26,day,Cambij provisioni in generale,present,"Marco da Riva, Ruzin Ruzini, Lorenzo Barb°, Maffio Michiel, Francesco Erizzo",,5,recorded_unverified,"[si riporta sotto: 5° (?) 80 91 95 108 190] Dovendo noi sopra la mercantia in essecution della parte dell’Ecc.mo Senato de 12 settembre instante, raccordar, et proponer quelle provisioni, che sono stimate a proposito da farsi per la regolatione della materia de cambij in Generale, et come in quella, et havendo convocati nell’officio nostro molti signori mercanti della piazza, con nobili, come cittadini et altri intendenti tutti, et molto pratici in questo negotio et ben discorso sopra quanto si deve con molte opportune considerationi, finalmente da tutti vien conosciuto, che la introduttione de’ cambij è nata, et derivata per il piu dalla commodita che viandanti, et mercanti ricceveno nelli loro negotij, et dalla facilita che insieme apporta seco il cambiar per diverse piazze del mondo, che riuscisse con molto commodo di chi negotia, onde si scopre assai chiaro che (?) tanto siano congionti insieme la mercantia et il cambio, che par che una senza l’altro non possi stare, dipendendo reciprocamente una dall’altra in maniera, che dove si negotiano mercantie, ivi è necessario il cambio, et dove non è cambio la mercantia non corre cosi facilmente: per il che il cambio non è altro, che una commodita di danaro, co’l quale si servono li mercanti nel comprar secondo la varieta de tempi, et delle stagioni quantita di mercantie per la estrattion, et condotta delli quali li Principi ne ricceveno beneficio, conservatione, et augumento nelli suoi datij con altre conseguenze, che derivano dalla multiplicita de negotij, et dalla introduttione delli operarij nella citta, li quali malamente, et debilmente si potriano sustentare senza il commodo di essi cambij, onde si deve benissimo avvertire, che non sia impedito questo corso in maniera che si venghi a dannificare il negotio, et conturbare la sua piazza. Ben è vero, che con la introduttione, et commodita delli sop.ti cambij reali, si è introdutto [89] anco un’altra qualita de cambi illiciti, et che si fanno con pegni in mano, ma con tanta cautione, et securezza, che è molto difficile il venir in luce delli contrafacenti, alli quali non si vede da noi, per quanto è stato discorso, come si possa venir ad alcuna fondata provisione, che il tutto non sia per disturbare et impedire il negotio de essi cambij reali, et quando alcuno de questi contratti illiciti vien trovato, vi è l’officio delli ss.ri del Piovego, che hanno auttorita di sententiare, et condennare; è anco introdotto il dar a cambio a figliuoli di famiglia con grandissimo loro danno, poiche in termine di poco tempo si vanno indebitando si fattamente, che in giro di pochi anni si raddoppia il debito loro, et si bene per le leggi raccommandate al detto off° del piovego è prohibito dal cambio, tamen sotto nome de altri, et con intelligentie secrete vien contrafatto che è stimata difficile la provisione. Non è dubio alcuno, che con questo mezo de cambij puo esser anco girata molta quantita di danaro in servitio de Principi alieni, et grandi, a che non sapiamo ni anco applicarvi rimedio senza levar affatto li sop.ti cambij, il che seguiria con notabil pregiudicio della mercantia et delli datij, et pero in questo cosi importante negotio non sapiamo vedere cosa alcuna che si possa fare. Solamente le potemo dire, che potria esser bene provedere, che non si potessero rimetter cambij se non per il semplice capitale, et che del tutto fosse prohibito accrescer li pro et provisioni sopra capitali accioche li debiti non si vadino accrescendo eccessivamente con danno di chi li prende com’è riuscito fin hora, riccordandole appresso riverentemente, che sia bene espedir l’ordine del far il conto del cambio iuxta quanto li è stato da noi nella nostra scrittura detto il che speramo, che possa parturir ottima riuscita in questo negotio. Il che è quanto potemo dir alla s.ta Vostra in questa materia cosi delicata, nella qual pero per il passato [89v] non si vede alcuna provisione fatta sopra di essa dall’Ecc.mo Senato. ET questo tanto le habbiamo voluto riferire rimettendosi in tutto al Sap.mo suo parere gratie [Marco da Riva, Ruzin Ruzini, Lorenzo Barb°, Maffio Michiel, Francesco Erizzo]",manual_full,,,,,2
ASVe_CSM_R142,R142_0032,,,11 novembre 1608,1608-11-11,day,cambij,present,"Domenego Lion, Marco Gradenigo, Marin Fallier, Ferigo Dandolo – mancherebbe Lorenzo Barbarigo che firma come quinto savio la disposizione successiva",,4,recorded_unverified,"Dovendo noi sopra la mercantia in essecution dell’ordine datoci sotto 22 ottobre prossimo passato raccordare, et proponer quelle provisioni che sono da noi stimate a proposito per la regolatione della materia de cambij in generale conforme alla parte dell’Ecc.mo Senato de 12 settembre precedente, havendo havute sopra tal materia quelle considerationi che ne sono parte mer[itor]ie (?) vedute le risposte de nostri Precessori in tal proposito, et la terminatione per la regolatione del conto, et ben discorso quanto si deve in materia cosi importante, trattandosi specialmente della conservatione di molte anime christiane. Et pero cosi come il cambio è stato ritrovato per commodita di viandanti, et per facilita della mercantia et delli negotij, cosi quando venghi fatto come (?) ricerca (?) la validita del cambio reale apporta conservatione et augumento alla mercantia, et come nec[essar]ia si deve abbrazzare et admettere per servitio della città, delli datij, et del traffico. Ma quando li cambij sono fatti con male arti con intelligentie secrete con solo fine di guadagno illicito non è dubbio alcuno che da quelli, che dano a cambio per queste vie illicite si contrafa alla ragione, et alli ordeni della bolla della santa memoria di Papa pio Quinto. Et per meglio dechiarire la nostra intentione in tal proposito le dicemo quello, che deve esser ben noto a tutti, che quelli cambij sono riputati giusti, et reali quando le lettere di cambio vano realmente et in effetto nelli medesimi lochi, dove sono destinate [92v o 91v] o sia nella viera di Bisenzone o di Piasenza o ad altre fiere ordinarie. Et che in esse fiere venghi fatta la esborsatione del giusto, et real pagamento, o in danari contadi, come parlano esse lettere, o in altra maniera, con la quale venghi effettivamente estinto il debito di essa letera di cambio. Li cambij poi dannati dalla detta bolla secchi, et usuratici sono delle infrascritte sorte [:] alcuni dano danari a cambio senza mandar le lettere in fiera non curandosi di saper altro, ma riportandosi implicitamente al conto che si fara del cambio, et cosi continuando di fiera in fiera. Altri mandano letere finte, che non vengono esseguite in fiera. Altri vogliono un guadagno sicuro, et certo de un tanto per cento non cercando altro [.] altri dano a cambio con il pegno in mano, et altri usano diverse altre forme de cambij inventadi dalla malitia loro; et molti delli sopradetti continuano il ziro di essi loro cambij per longhissimo tempo lasciando crescer pro sopra cavedal in maniera che in pochi anni tanto cresce il beneficio del pro che si vien a far altre tanto capitale con total ruina di quelli, che prendono essi cambij portando il cambio molto interesse. Ne in questi casi deveno valere alcune considerationi, che vengono addotte, che alcuna sorte di questi cambij apporti molta commodita alli negotianti in occasione de bisogni loro per la espeditione delle sue mercantie per la fabrica delle navi, per occasion delli loro retratti per il maridar delle figliole, et per altre commodita, che occorreno [93 – 92] ogni altro giorno a molti, che vanno reparando alle cose loro, et suoi negotij con la commodita de questi cambij, perche tutte queste considerationi possono esser ben vere et altre appresso, ma non di meno è pero verissimo, che il tutto vien operato contra conscienza con danatione de chi da questi cambij [sic – si sono dimenticati di trascrivere la fine della frase?]: li quali cambij secchi, et usuratici non è pero molto tempo, che si usano in questa Citta, senza li quali benissimo co’l cambio real solamente, a tempo, che fioriva la citta maggiormente di nave, negotio et mercantia. Onde quantunque possino apportar qualche commodo, o utile a negotianti per le cause sudette è pero di maggior importanza la consideratione del prossimo fine loro, che consiste nel guadagno illicito, che paragonato il tutto con il beneficio che se ne puo riccever per conservatione delli animi christiani, è cosa chiara che non si puo parlar in contrario, per il che essendo reputata da noi nec[essar]ia la prohibitione affatto de questi illiciti cambij prenarrati, le dicemo, che si veniranno a liberar tanti, che per questa via vanno infettando le conscienze loro, et anco si andaranno per se stessi distruggendo, et si venira a proveder anco alle Inchiette (?) che si sogliono far per sustentar le mercantie come di ogli, et altre diverse facendosi con tal mezo il tutto crescer con importantissimo maleficio delli habitanti di tutta questa citta, oltra che dalla commodita di questi cambij cattivi si è veduto per esperienza molti esser dicaduti, et falliti, et che del continuo falliscono per grosse sume di cavedali, et molti figliuoli di famiglia oltre tanti altri, con la commodita che hanno de tuor danari a cambio per queste vie si vanno da se stessi consumando con grandissimo danno, et ruina loro. Si aggionge ancora l’importantissimo inconveniente [92v] che succede per il dar danari a cambio a questo modo per che quelli capitano nelle mano di fiorentini ricchi et potenti da quelli vengono recambiati con Genovesi et poi da essi Genovesi sono mandati a servitio de Principe grande, il quale quando per qualche accidente non potesse, o non volesse pagar essi Genovesi, tanto manco da loro potriano riscuoter li fiorentini, onde che facilmente ne potria nascer una ruina grandissima alli interessati in questa città, che Dio no’l permetti per sua infinita bonta et gratia, sapendosi pur troppo per esperienza che da poco tempo in qua li pagamenti de cambij sono stati ritardati, et prolongati di una in altra fiera piu di una volta si come si può vedere dalle occluse note. La dove continuandosi in questi cambij andamo prevedendo, che un giorno li cambiatori haveranno cambiato effetti in apparenza, et danari in carta, perche suspendendosi un giorno essi pagamenti bisognera necessariamente, che ogni interessato caschi senza dubio per grossissima summa, \*\*importando li cambij per quanto siamo informati \*\***il valore di sie milliona d’oro in circa per ogni fiera et secondo li accidenti del mondo molto piu**, et con questa commodita poi di tanto danaro essi fiorentini attendendo sopra tutto ad essi cambij per il beneficio grandissimo, che ne riceveno nelle provisioni. Et non havendo sua S.ta alcun utile da essi cambij apportano poco beneficio alli datij publici, non attendendo loro se non in poca quantita al [93] negotio della mercantia, come appare dalle occluse note delli datij de Intrada, et uscida di questa città. Li sudditi suoi ancora con la prohibitione de questi cambij andaranno impiegando il loro danaro con manco pericolo in livelli o censi leciti, in fabriche in navi, mercantie et altre occasioni con utile, et servitio delli datij et intrade publiche, et schiveranno li pericoli di sopra narrati, et aiutati dal favor del signor Dio per impiegar li loro cavedali in cose licite, et permesse, andaranno operando di bene in meglio con salute delli animi loro. Concludendo adonque le dicemo esser nostra opinione, che essendo la S.ta Vostra Principe religiosissimo et chris[tianissi]mo et aspettando a lei (sia detto con quella riverenza che dovemo) il protegger li sudditi suoi et procurar quanto piu sia possibile, che sempre vivino in gratia del signor Dio, et lontani da simili operationi detestande, ella non debba in alcuna maniera permetter, che nella sua citta, et Dominio da sudditi suoi, ne da altri siano fatti cambij della sopradetta natura, provedendo anco che non si possino rimetter cambij se non per il semplice capitale, et che non si possano in qualsivoglia modo accrescer li pro, et provisioni sopra capitali, accioche li debiti non vadino accrescendo eccessivamente con danno di chi li prende, come è riuscito fin hora per esser anco cio illicito, et prohibito, imponendo pene alli contrafacenti della perdita del danaro cambiato illicitamente nel modo sopradetto et altre pene maggiori, che paresse alla S.ta Vostra di aggionger applicando bona parte di essa pena al denontiante [93v] da esser tenuto secretissimo, possendo ricever questo medesimo beneficio quello, che torra a cambio accusando, perche cosi facendosi cadauno si vardera di incorrer in tanta pena. Questa prohibition noi stimiamo che sia bene ordinar, che debba principiare la sua essecutione passato che sia il termine de doi fiere accioche cadauno possi haver modo, e tempo sufficiente per proveder alle cose loro. Et perche viene anco ricordato che possi esser bona provisione la institutione di una fiera in alcuna delle citta del suo stato di Terra ferma, come hanno fatto le citta di Roma et fiorenza, per ovviar che tanto denaro di sudditi suoi non capiti con tanto pericolo, come predicemo sotto la volonta de Principe grande, crederessimo pero che fosse bene mettervi molto pensiero sopra con quelli ordeni, et regule, che fossero stimate necessarie per la sicurezza di questo cosi importante negotio come meglio parera alla infinita sua prudenza. Quanto aspetta poi al far del conto delli cambij reali, come habbiamo di sopra dechiarito, la regola fatta da nostri Precessori sotto 13 settembre passato stimiamo dover esser dover esser provisione giusta, et ragionevole accio che le nationi dechiarite in essa possino tutte esser presenti per terminar quanto sara stimato conveniente intorno esso conto. Quest’è quanto habbiamo voluto alle ss. V. Ecc.me in tal proposito, rimettendone etc. [Domenego Lion, Marco Gradenigo, Marin Fallier, Ferigo Dandolo – mancherebbe Lorenzo Barbarigo che firma come quinto savio la disposizione successiva]",manual_full,,,,,4
ASVe_CSM_R142,R142_0001,1r,1v,17 marzo 1607,1607-03-17,day,I Savi sono pregati di rispondere alla supplica di Z. Antonio Rampazetto e nipoti “per la,present,,,,not_checked,,regest,,,,"qual ricercano, che altri, che loro, non possino stampar parti o deliberationi di sorte alcuna, ne altre pertinente a officij et magistrati di questa città…”",
ASVe_CSM_R142,R142_0002,1r,2v,17 marzo 1607,1607-03-17,day,"Civiltà di Nadal, Antonio e Zuanne Federici",present,Sier Marco da Riva,,1,recorded_unverified,"È passato molto tempo che fu presentato supplica alla s.tà vostra da me Nadal, Antonio et Zuanne Federici Bergamaschi del q. m. Piero, per la qual ricercavano il privilegio della cittadinanza di intus, et extra, sopra che fu commessa la riformatione, et risposta alli Cl.mi ss.ri Prov.ri di Commun et cinque savij alla m.tia, in tempo, che in detto officio si attrovavano li altri quattro min[ist]ri (?) coll.a [collega?], che è molto, che sono usciti, sotto li quali fu anco abbozzata la risposta, ma per le molte facende et affari dell’officio, successe, che non fu sottoscritta, la qual havendo li supplicanti subodorato, che non era al proposito loro, si ritirorono, et non cercorono più altro, che credo, che haverebbono anco à caro che ancor io uscisse di questo carico, si come fra pochi giorni son per fenire, et perche in questo negotio, che per il passato è seguito con qualche disordine a pregiudicio delli suoi datij si come siè veduto, nel che ho usato qualche fatica, et spirito, et poiche potrà occorer, che questi supplicanti ritornassero in qualche tempo, a procurar la risposta della loro supplica, ho voluto per servitio delle cose sue, riverentemente et con mio giuramento sopra cio rappresentar alla S.tà V. l’opinion mia, acciò si occorresse che in tempo alcuno potesse esser fatta altra risposta la possi metter anco questa mia in quella consideratione, che alla sua summa prudenza parera, impero (?) havendo io havuto ogni essatta consideratione alla legge del mazor consiglio del 1552, 21 Agosto, la qual providendo a molti disordini in questa materia dispone, che à quelli che si ha da concieder tal beneficio, habbino prima habitata questa città per anni vinticinque continui, et che per detto tempo medesimamente habbeno pagate le gravezze, et non s’havessero à servir del nome de suoi congionti, si come intendeno far questi supplicanti, et come in essa legge chiaramente è dichiarito, che qui occlusa li mandamo [.] li diro anco, che questi nell’officio di signori Prov.ri di Commun hanno fatto far certo essame di testimonij di haver habitato questa città li anni vinticinque, nelle qual dispositioni si vede, che hor hanno habitato de qui, et hor in Bergamasca; ma quanto poi al pagamento delle gravezze per li anni vinticinque non si vede, che ne loro, ne il q. suo padre habbino dato conditione alcuna, né meno che in specialità loro, ne di suo padre habbino fatto pagamento alcuno, ma ben con artificio si vorriano servir del nome del q. Zuanne loro barba, qual in specialità propria fu posto in tansa l’anno 1566 ducati tre, et per aggionto ducati doi, qual era tentor, et continuò in nome suo proprio far li suoi pagamenti all’off° di Governatori fin l’anno 1584, talchè non resta vero quello, che dicono nella loro supplica, che la sua casa habbia habitato questa città già anni cento, et essendo venuto a morte il q. m. Zuanne loro barba fu nell’officio di X savij del 1584 27 febraro traslatato dal nome del q. m. Zuanne al nome de m. Piero suo fratello padre delli supplicanti, et è sta pagato sotto quello noe fin alla Decima n° vinti, et per che questi vedendo, che questo non li puo giovar si hanno fatto admetter un capitolo nell’officio di Proveditori di Commun, intendendo di giustificar, che il q. suo Padre era in fraterna con suo barba m. Zuanne, et hanno fatto essaminar doi testimonij uno portator da oglio, et uno venditor da vino, cosi ridicoli, che se questo fosse stato per atti publichi l’haverebbono dimostrato, oltre che nelle conditioni, et pagamenti si haveria nominato Zuanne Fedrici et fratelli, et non in quela maniera, come per li conti di ss.ri Governatori si vede. Et perché chi admettesse una tal attione daria materia ad altri di servirsi di quanto intendono far questi, essendo che questa è materia importante, che ogni volta, che vien concesso tal privilegio si fa danno alla s.tà V. nelli pagamenti di datij a quasi della mità manco di quello che paga uno che non è privilegiato, ma ben è che veritate (?) anco dar questo privilegio a quelli, che hanno li debiti requisiti, che dispone la leze. Non resterò anco di dir alla Ser.tà Vostra, che per il passato è seguito molti disordeni à danno publico in queste concessioni di privileggio, si come fu scoperto dalli Cinque savij Provissori mentre che ancor io mi attrovavo in quel carico, et fu formato diligente processo et fu fatto retenir uno fante di Proveditori di Commun, et havendosi rappresentato il tutto alli Ill.mi ss.ri Capi dell’Eccelso Conseglio di Dieci, et per parte presa in esso Conseglio 1604 8 febraro fu delegato il processo, et priggion all’officio dell’Avogaria, accio fossero castigati quelli, che havessero havuto complicità in que’ male operationi. La onde nel consiglio di quaranta al criminal fu confermata la retentione del priggion, et presa la retention di Francesco Turrin ministro di ss.ri Gov.ri delle Intrade et di Hier.mo Sicula, che attendeva alli X Savij, quali proclamati restorno absenti, et sotto li 10 ottobre 1606 [1605?] Francesco Turrin fu in perpetuo bandito di tutte terre, et luoghi, et Hier.mo Sicula per anni vinti et alli 20 febraro susseguente furono chiamati in scala da sessanta e più mercanti, quali con indebiti mezi havevano ottenuto questo privilegio con grandissimo danno delli suoi datij, et l’Avogador di questo caso è il Cl.mo s.r Gio. Maria Boldu et va continuando la formatione del processo contra altri complici, et in quello fatto è causato un danno alla S.tà Vostra di cinquantene de migliara de ducati, ma con il mezo, et valor (?) di questo Cl.mo Avogador la potra esser reintegrata delli molti danni, che li sono stati fatti, et anco che per l’avvenir si habbia ad haver quel riguardo, che dispone la legge in questa materia, non resterò anco di dir, che mi da qualche suspetto, vedendo, che questi supplicanti in questo tempo si siano posti a tentar questo fatto che saria di gran diffesa alli mercanti appresentati (?), alli quali si tratta con il mezo del consiglio di far tagliar li loro privilegij, per esser contrarij a quanto dispone la legge, se questi supplicanti ottenessero l’intento loro in questo fatto. Quest’è quel tanto, che ho voluto riverentemente et per satisfattione della mia conscientia esponer alla S.tà V. rimettendomi pero al suo sapientissimo giuditio. Sier Marco da Riva.",manual_full,,,,,5
