unit_id,feature,value,rule,confidence,evidence
R142_0001,document_trigger,supplica,M_trigger_incipit,medium,…sono pregati di rispondere alla supplica di Z. Antonio Rampazetto e nipo…
R142_0001,policy_domain,institutional_procedure,M_domain_cues,low,"…e alcuna, ne altre pertinente a officij et magistrati di questa città…»…"
R142_0001,decision_orientation,prohibit,M_orientation_from_closing,low,"…ricercano, che altri, che loro, non possino stampar parti o deliberationi d…"
R142_0001,term_deontic,non possino,T_lexicon,high,"…ricercano, che altri, che loro, non possino stampar parti o deliberationi d…"
R142_0002,document_trigger,supplica,M_trigger_incipit,medium,"…o molto tempo che fu presentato supplica alla s.tà vostra da me Nadal, A…"
R142_0002,policy_domain,taxation_customs,M_domain_cues,medium,"…ordine a pregiudicio delli suoi datij si come siè veduto, nel che ho…"
R142_0002,term_fiscal,datij,T_lexicon,high,"…ordine a pregiudicio delli suoi datij si come siè veduto, nel che ho…"
R142_0002,term_fiscal,gravezze,T_lexicon,high,"…medesimamente habbeno pagate le gravezze, et non s’havessero à servir de…"
R142_0002,term_fiscal,decima,T_lexicon,high,"…agato sotto quello noe fin alla Decima n° vinti, et per che questi ved…"
R142_0002,term_fiscal,tansa,T_lexicon,high,"…specialità propria fu posto in tansa l’anno 1566 ducati tre, et per…"
R142_0002,term_fiscal,ducati,T_lexicon,high,"…a fu posto in tansa l’anno 1566 ducati tre, et per aggionto ducati doi…"
R142_0002,term_institutions,avogaria,T_lexicon,high,"…o, et priggion all’officio dell’Avogaria, accio fossero castigati quelli…"
R142_0002,term_institutions,proveditori,T_lexicon,high,"…ter un capitolo nell’officio di Proveditori di Commun, intendendo di giusti…"
R142_0002,term_monetary,"ducati tre,",T_lexicon,high,"…a fu posto in tansa l’anno 1566 ducati tre, et per aggionto ducati doi, qua…"
R142_0003,document_trigger,commission,M_trigger_incipit,medium,"…Essendo stato commesso a noi sopra la mercantia, et Pr…"
R142_0003,policy_domain,shipping_navigation,M_domain_cues,medium,…pij riceveva di beneficio dalle navi Venetiane ducati dieci per nav…
R142_0003,decision_orientation,confirm,M_orientation_from_closing,low,"…per questa via sentimo, che sia confermata questa sua Tariffa dall’Ecc.m…"
R142_0003,term_deontic,debba,T_lexicon,high,"…sti due, cioè, che esso consule debba essercitar il suo carico person…"
R142_0003,term_deontic,non possa,T_lexicon,high,"…il suo carico personalmente, et non possa metter in suo loco sustituto in…"
R142_0003,term_deontic,sotto pena,T_lexicon,high,"…o loco sustituto in modo alcuno sotto pena de privation, et altre, secondo…"
R142_0003,term_deontic,stimiamo,T_lexicon,high,"…onsiderato in questo proposito, stimiamo, che sia bene, che per regolati…"
R142_0003,term_fiscal,datij,T_lexicon,high,"…i la nel modo, che si pagano li datij in quelle doane così d’intrada,…"
R142_0003,term_fiscal,datio,T_lexicon,high,…ti per occasione di questa liquidatione dal sudetto Cominzuolo si dim…
R142_0003,term_fiscal,ducati,T_lexicon,high,"…beneficio dalle navi Venetiane ducati dieci per nave, ma essendosi po…"
R142_0003,term_institutions,senato,T_lexicon,high,"…da esser confirmata dall’ecc.mo Senato, per essecutione di che reduti…"
R142_0003,term_institutions,proveditori,T_lexicon,high,"…so a noi sopra la mercantia, et Proveditori alle Rason vecchie dalla Ser.ma…"
R142_0003,term_institutions,rason vecchie,T_lexicon,high,"…mercantia, et Proveditori alle Rason vecchie dalla Ser.ma Signoria sotto 10…"
R142_0003,term_monetary,ducati dieci,T_lexicon,high,"…beneficio dalle navi Venetiane ducati dieci per nave, ma essendosi poi fatt…"
R142_0003,term_monetary,un ottavo per cento,T_lexicon,high,…o da loro di propria volontà di un ottavo per cento sopra le mercantie la qual reco…
R142_0003,place,Venezia,G_gazetteer,medium,"…si, fu però all’hora mandato da Venezia da interessati la persona del q…"
R142_0003,place,Lisbona,G_gazetteer,medium,…lvise Cominzuolo Console suo in Lisbona una Tariffa conveniente da esse…
R142_0004,policy_domain,shipping_navigation,M_domain_cues,low,"…odo che ne sperassero da questa navigatione, et questo è quanto.…"
R142_0004,decision_orientation,recommend,M_orientation_from_closing,low,…et vini di Candia con tutto cio stimiamo molto difficile la introduttion…
R142_0004,term_deontic,stimiamo,T_lexicon,high,…et vini di Candia con tutto cio stimiamo molto difficile la introduttion…
R142_0004,place,Candia,G_gazetteer,medium,"…lana, delli savoni, et vini di Candia con tutto cio stimiamo molto di…"
R142_0005,document_trigger,supplica,M_trigger_incipit,medium,…Habbiamo noi etc veduta la supplicatione de m. Z. Antonio Bozza da Berga…
R142_0005,policy_domain,citizenship_privilege,M_domain_cues,medium,"…S.tà V. che si degni crear suo cittadino de extra per le cause, et come…"
R142_0005,decision_orientation,grant,M_orientation_from_closing,low,"…disposti dalle leggi capace, et degno, di quantoha humilmente supplic…"
R142_0005,term_deontic,debba,T_lexicon,high,"…ne dalle leggi sue disposto che debba esser concesso a quelli, che ha…"
R142_0005,term_fiscal,gravezze,T_lexicon,high,…per il medesimo tempo pagate le gravezze della città; la dove havendo no…
R142_0005,term_fiscal,tansa,T_lexicon,high,"…la pigna, et che il suo nome fu tansato ducati quattro, et altri duca…"
R142_0005,term_fiscal,ducati,T_lexicon,high,"…, et che il suo nome fu tansato ducati quattro, et altri ducati quattr…"
R142_0005,term_institutions,senato,T_lexicon,high,…iato dalla S.ta V. con l’Ecc.mo Senato a 20 Xmbre 1584 della cittadina…
R142_0005,term_monetary,"ducati quattro,",T_lexicon,high,"…, et che il suo nome fu tansato ducati quattro, et altri ducati quattro di aggi…"
R142_0005,place,Bergamo,G_gazetteer,medium,…tione de m. Z. Antonio Bozza da Bergamo per la quale ricerca dalla S.tà…
R142_0006,document_trigger,supplica,M_trigger_incipit,medium,…anche a cc. 31 e 23] Intorno la supplicatione presentata alla Serenita Vostra…
R142_0006,policy_domain,minorities_governance,M_domain_cues,medium,"…ndo la causa perche non vengono hebrei ponentini in questa Città, et p…"
R142_0006,decision_orientation,inform,M_orientation_from_closing,low,…r conseguir quello buon fine et questo è quanto.…
R142_0006,term_deontic,debba,T_lexicon,high,"…e siano sottoposti a quella, ma debba esser scossa da hebrei Todeschi…"
R142_0006,term_fiscal,datij,T_lexicon,high,"…apportar molto utile alli suoi datij, al popolo et m[ercan]ti (?) di…"
R142_0006,term_fiscal,tansa,T_lexicon,high,"…i tra di loro di tempo in tempo tansando, et sopportando questa grave…"
R142_0006,term_fiscal,tanse,T_lexicon,high,"…mente dalle contributioni delle tanse, che li vengono imposte dalli h…"
R142_0006,term_institutions,senato,T_lexicon,high,"…uono, et riuscabile dall’Ecc.mo Senato con le prime informationi noi l…"
R142_0007,document_trigger,supplica,M_trigger_incipit,medium,"…Rispondendo noi etc alla supp.ne di Z. Piero, Giacomo Antonio, e…"
R142_0007,policy_domain,taxation_customs,M_domain_cues,medium,"…tà, con il pagamento però delli datij di questa citta, et come in ess…"
R142_0007,decision_orientation,recommend,M_orientation_from_closing,low,"…to per essecution di essa leze, stimiamo, che sia bene per transito publ…"
R142_0007,term_deontic,stimiamo,T_lexicon,high,"…to per essecution di essa leze, stimiamo, che sia bene per transito publ…"
R142_0007,term_fiscal,datij,T_lexicon,high,"…tà, con il pagamento però delli datij di questa citta, et come in ess…"
R142_0007,term_fiscal,datio,T_lexicon,high,"…e di questa città si pagasse il datio di Bergamo fu scritto all'hora,…"
R142_0007,term_institutions,senato,T_lexicon,high,"…e per deliberatione dell'ecc.mo Senato di 11 xmbre 1449, prettendendo…"
R142_0007,place,Bergamo,G_gazetteer,medium,"…449, prettendendo li datiari di Bergamo, che delle mercantie estratte d…"
R142_0007,place,Verona,G_gazetteer,medium,"…i Rettori suoi di Padoa Vicenza Verona, Bressa, et Giara d'Adda et suc…"
R142_0007,place,Padoa,G_gazetteer,medium,"…o commesso alli Rettori suoi di Padoa Vicenza Verona, Bressa, et Giar…"
R142_0008,place,Alessandria,G_gazetteer,medium,…sole di Rossetto e Bicchieri in Alessandria.…
R142_0056,document_trigger,supplica,M_trigger_incipit,medium,"…La supp[licatio]ne di D. Ott[avi]o dall'oglio, per…"
R142_0056,policy_domain,shipping_navigation,M_domain_cues,medium,…in=troducendosi di subito nella galea porteria pericolo di Infettione…
R142_0056,decision_orientation,inform,M_orientation_from_closing,low,"…o, et questo è quanto ho uoluto rapresentar alla S[ereni]ta V[ostra] in tal prop…"
R142_0056,place,Spalato,G_gazetteer,medium,…ogresso di peste nella citta di Spalato con beneficio importante per la…
R142_0056,place,Narenta,G_gazetteer,medium,"…cantie per hora per la scala di Narenta per le ragioni, et cause in ess…"
R142_0056,place,Ragusi,G_gazetteer,medium,"…icio importante per la scala di Ragusi, ricercando che si procuri l'au…"
R142_0009,document_trigger,commission,M_trigger_incipit,medium,…io alle carte da gioco iuxta la commissione datane dalle ss.rie V. Ecc.me s…
R142_0009,policy_domain,taxation_customs,M_domain_cues,medium,"…nostra opinione circa l'imponer datio alle saggie fiorentine, overo f…"
R142_0009,decision_orientation,recommend,M_orientation_from_closing,low,…nno introdotto il datio in esse stimiamo che non possi esser si non util…
R142_0009,term_deontic,stimiamo,T_lexicon,high,"…ole appresso, che non solamente stimiamo, che non sia bene imponerv dati…"
R142_0009,term_fiscal,datio,T_lexicon,high,"…nostra opinione circa l'imponer datio alle saggie fiorentine, overo f…"
R142_0057,document_trigger,supplica,M_trigger_incipit,medium,"…sett[embr]e instante Intorno la supp[licatio]ne delli hebrei leuantini, et Pone…"
R142_0057,policy_domain,minorities_governance,M_domain_cues,low,"…ntorno la supp[licatio]ne delli hebrei leuantini, et Ponentini nella q…"
R142_0057,decision_orientation,prohibit,M_orientation_from_closing,low,"…lati, sicuri, che per tal causa non possino receuer alcun disturbo, perche…"
R142_0057,term_deontic,non possino,T_lexicon,high,"…ticolarm[en]te si contiene, che non possino esser molestati da qual si uogl…"
R142_0057,term_institutions,cattaveri,T_lexicon,high,"…fatta dalli s[ignori] cataueri [Cattaveri] co[n]tra samuel Dorado, et q[u…"
R142_0010,document_trigger,supplica,M_trigger_incipit,medium,"…er le cause, et come nella loro supp.ne sopra della quale dovendo noi a…"
R142_0010,policy_domain,shipping_navigation,M_domain_cues,medium,"…oter estrazer, et mandar con le navi destinate per detti viaggi del…"
R142_0010,decision_orientation,grant,M_orientation_from_closing,low,"…te tanto sbatuti, et impauriti, concieder loro la licentia dimandata per…"
R142_0010,term_deontic,stimiamo,T_lexicon,high,…terlo fare; la dove concludendo stimiamo importantissimo interesse della…
R142_0010,term_deontic,non resti,T_lexicon,high,"…2 ½ per cento di datio, pur che non restino obligati a quella ~~Corona~~…"
R142_0010,term_fiscal,datij,T_lexicon,high,"…, et altre tanto di ritorno, li datij dell'Intrada et uscida, la tans…"
R142_0010,term_fiscal,datio,T_lexicon,high,"…ancese ne paga 2 ½ per cento di datio, pur che non restino obligati a…"
R142_0010,term_fiscal,tansa,T_lexicon,high,"…atij dell'Intrada et uscida, la tansa che si paga novamente reduta à…"
R142_0010,term_fiscal,ducati,T_lexicon,high,"…tutti essi interessi à rason de ducati 40, in 45 per cento, che è grav…"
R142_0010,term_fiscal,6 per c,T_lexicon,high,…che si paga novamente reduta à 6 per cento et altre spese ordinarie et…
R142_0010,term_institutions,zecca,T_lexicon,high,"…ere col mezo del banco et della Zecca, ma perche la moneta della S.ta…"
R142_0010,term_monetary,"ducati 40,",T_lexicon,high,"…tutti essi interessi à rason de ducati 40, in 45 per cento, che è gravezza…"
R142_0010,term_monetary,20 per cento,T_lexicon,high,"…fanno per manco de 8 . 9 . fin 20 per cento dell'andar, et altre tanto di r…"
R142_0010,place,Alessandria,G_gazetteer,medium,…per li viaggi di Cipro Soria et Alessandria che dalla S.ta V. li sia conces…
R142_0010,place,Costantinopoli,G_gazetteer,medium,"…sso reale per ordine publico da Costantinopoli ha hauuto il corso, che (?) per…"
R142_0010,place,Cipro,G_gazetteer,medium,…che negotiano per li viaggi di Cipro Soria et Alessandria che dalla…
R142_0058,document_trigger,report,M_trigger_incipit,medium,…ntio di sua santita. Intorno il memoriale presentato alla S[ereni]tà V[os…
R142_0058,policy_domain,taxation_customs,M_domain_cues,medium,"…di esse 20 per c[ent]o oltre i datij ordinarij, et però pretendendo…"
R142_0058,term_fiscal,datij,T_lexicon,high,"…di esse 20 per c[ent]o oltre i datij ordinarij, et però pretendendo…"
R142_0058,term_fiscal,datio,T_lexicon,high,"…da que' datiari per caution di datio per le cause, et come in esso d…"
R142_0058,term_institutions,senato,T_lexicon,high,"…, ella poi con deliberation del Senato sotto 24 Marzo sussequente died…"
R142_0058,term_monetary,20 per cento,T_lexicon,high,"…datio del trentesimo, et di piu 20 per cento in uirtù di una parte del Senat…"
