unit_id,folio_raw,folio_sides,date_iso,subject,manual_status,htr_coverage,htr_pages_missing,image_files,priority,target,source_of_row
R142_0001,c. 1,1r 1v,1607-03-17,I Savi sono pregati di rispondere alla supplica di Z. Antonio Rampazetto e nipoti “per la,regest,partial,1r,CSM142_1r.JPG;CSM142_1v2r.JPG,P2_htr_partial,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0008,cc. 24 r-v,24r 24v,1607-09-05,Elezione del console di Rossetto e Bicchieri in Alessandria,regest,full,,CSM142_23v24r.JPG;CSM142_24v25r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0014,cc. 42r-v,42r 42v,1607-12-26,Console di Rodi,regest,full,,CSM142_41v42r.JPG;CSM142_42v43r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0015,cc. 43r-v,43r 43v,1607-12-26,Il capitano di Padova chiede la conferma della elezione fatta “per sua Signoria” di uno de,regest,full,,CSM142_42v43r.JPG;CSM142_43v44r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0023,cc. 67r-v,67r 67v,,cittadinanza per Zuan Bernardo Arigoni q,regest,full,,CSM142_66v67r.JPG;CSM142_66v67r_bis.JPG;CSM142_67v68r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0026,c. 75r,,,uno dei savi non è d’accordo su un punto con gli altri colleghi.,regest,none,,,P1_no_witness,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0028,c. 78r,,1608-07-10,Battista Nanti q,regest,none,,,P1_no_witness,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0033,cc. 97-99,97r 97v 98r 98v 99r 99v,1608-12-12,arte della seda pani forestieri regolation – è il commento alla proposta presentata ai Pro,regest,none,97r 97v 98r 98v 99r 99v,CSM142_96v97r_95v96r.JPG;CSM142_97v98r_96v97r.JPG;CSM142_98v99r_97v98r.JPG;CSM142_99v100r_98v99r.JPG,P1_no_witness,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0043,cc. 160v-161,160v 161r 161v,,"richiesta di cittadinanza di Zuanne e Daniele Zupponi, fratelli q",partial,full,,CSM142_160v161r.JPG;CSM142_161v162r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_0047,cc. 166v-167r,166v 167r,1609-12-11,"richiesta di cittadinanza di Santo Grigis mercante di vino, che abita a Venezia da quarant",regest,full,,CSM142_166v167r.JPG,P3_htr_full_needs_collation,diplomatic_transcription_by_finetuned_model_then_expert_collation,worklist_53
R142_C001,c. 5r,5r,,salt duties Treviso/Bassano (Gugliermini),none,full,,CSM142_4v5r.JPG,P0_candidate_unit_to_verify,unit_existence_verification_then_transcription,llm_scaffold_hypothesis_NOT_ground_truth
R142_C002,c. 8v,8v,,"Gabriel Zucato, Cyprus, notary",none,full,,CSM142_8v9r.JPG,P0_candidate_unit_to_verify,unit_existence_verification_then_transcription,llm_scaffold_hypothesis_NOT_ground_truth
R142_C003,c. 22r,22r,,marciliani / Marseille,none,full,,CSM142_21v22r.JPG,P0_candidate_unit_to_verify,unit_existence_verification_then_transcription,llm_scaffold_hypothesis_NOT_ground_truth
R142_C004,c. 24v,24v,,"Granaruol, consulate of Rosetta — possibly = R142_0008, verify",none,full,,CSM142_24v25r.JPG,P0_candidate_unit_to_verify,unit_existence_verification_then_transcription,llm_scaffold_hypothesis_NOT_ground_truth
